Time (Sec);S14;S16;S21;S4;S5;S6;S10;S11;S13;S15;S2;S26;S27;S28;S31;S32;S8;
2.095840499738246;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.952053999998;19159.97622;19159.97622;19159.976693599998;19159.931215599994;19159.976693599998;19160.0;19160.0;19159.97622;
2.095840499738246;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928374;19159.97622;19159.97622;19159.976693599998;19159.931215599994;19159.976693599998;19160.0;19160.0;19159.97622;
2.137185890742984;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928374;19159.97622;19159.97622;19159.976693599998;19159.931215599994;19159.976693599998;19160.0;19160.0;19159.97622;
2.1373458907429836;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928374;19159.97622;19159.97622;19159.976693599998;19159.931072599993;19159.976693599998;19160.0;19160.0;19159.97622;
2.1438004997382456;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928230999998;19159.97622;19159.97622;19159.976693599998;19159.931072599993;19159.976693599998;19160.0;19160.0;19159.97622;
3.0100000000000002;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928230999998;19159.97622;19159.97622;19159.976693599998;19159.931072599993;19159.976693599998;19160.0;19160.0;19159.97622;
3.137327201955787;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928230999998;19159.97622;19159.97622;19159.976693599998;19159.930972599992;19159.976693599998;19160.0;19160.0;19159.97622;
3.137327201955787;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928230999998;19159.97622;19159.97622;19159.976693599998;19159.908239799992;19159.976693599998;19160.0;19160.0;19159.97622;
3.1437377504551423;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.928130999997;19159.97622;19159.97622;19159.976693599998;19159.908239799992;19159.976693599998;19160.0;19160.0;19159.97622;
3.1437377504551423;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19159.976693599998;19159.9757464;19159.904451;19159.97622;19159.97622;19159.976693599998;19159.908239799992;19159.976693599998;19160.0;19160.0;19159.97622;
